time,FL,FR,RL,RR
0.000000000,46.000000000,51.000000000,52.000000000,44.000000000
0.000000000,46.000000000,51.000000000,52.000000000,44.000000000
0.000000000,46.000000000,52.000000000,52.000000000,44.000000000
0.000000000,46.000000000,52.000000000,52.000000000,44.000000000
0.000000000,46.000000000,52.000000000,52.000000000,44.000000000
0.000000000,46.000000000,52.000000000,52.000000000,44.000000000
0.000000000,46.000000000,52.000000000,52.000000000,44.000000000
0.000000000,46.000000000,52.000000000,52.000000000,44.000000000
0.025002003,46.000000000,52.000000000,52.000000000,44.000000000
0.025002003,46.000000000,52.000000000,52.000000000,44.000000000
0.025002003,46.000000000,52.000000000,52.000000000,44.000000000
0.025002003,46.000000000,52.000000000,52.000000000,44.000000000
0.025002003,46.000000000,52.000000000,52.000000000,44.000000000
0.025002003,47.000000000,52.000000000,52.000000000,44.000000000
0.025002003,47.000000000,52.000000000,52.000000000,44.000000000
0.025002003,47.000000000,52.000000000,52.000000000,44.000000000
0.025002003,47.000000000,52.000000000,52.000000000,44.000000000
0.025002003,47.000000000,52.000000000,52.000000000,44.000000000
0.025002003,47.000000000,52.000000000,52.000000000,44.000000000
0.025002003,44.000000000,52.000000000,50.000000000,44.000000000
0.050000906,44.000000000,47.000000000,50.000000000,40.000000000
0.050000906,44.000000000,47.000000000,50.000000000,40.000000000
0.050000906,51.000000000,47.000000000,31.000000000,40.000000000
0.050000906,51.000000000,28.000000000,31.000000000,53.000000000
0.050000906,51.000000000,28.000000000,31.000000000,53.000000000
0.050000906,64.000000000,28.000000000,22.000000000,53.000000000
0.050000906,64.000000000,21.000000000,22.000000000,53.000000000
0.050000906,64.000000000,21.000000000,22.000000000,53.000000000
0.050000906,69.000000000,21.000000000,21.000000000,53.000000000
0.050000906,69.000000000,20.000000000,21.000000000,53.000000000
0.050000906,69.000000000,20.000000000,21.000000000,57.000000000
0.050000906,73.000000000,20.000000000,20.000000000,57.000000000
0.075004339,73.000000000,19.000000000,20.000000000,57.000000000
0.075004339,73.000000000,19.000000000,20.000000000,58.000000000
0.075004339,77.000000000,18.000000000,20.000000000,58.000000000
0.075004339,77.000000000,18.000000000,20.000000000,62.000000000
0.075004339,77.000000000,18.000000000,20.000000000,62.000000000
0.075004339,78.000000000,18.000000000,20.000000000,62.000000000
0.075004339,78.000000000,19.000000000,20.000000000,62.000000000
0.075004339,78.000000000,19.000000000,20.000000000,66.000000000
0.075004339,85.000000000,19.000000000,20.000000000,66.000000000
0.075004339,85.000000000,19.000000000,20.000000000,66.000000000
0.075004339,85.000000000,19.000000000,20.000000000,69.000000000
0.075004339,88.000000000,19.000000000,19.000000000,69.000000000
0.075004339,88.000000000,18.000000000,19.000000000,69.000000000
0.099998951,88.000000000,18.000000000,19.000000000,72.000000000
0.099998951,89.000000000,18.000000000,19.000000000,72.000000000
0.099998951,89.000000000,18.000000000,19.000000000,73.000000000
0.099998951,89.000000000,18.000000000,19.000000000,73.000000000
0.099998951,88.000000000,18.000000000,19.000000000,73.000000000
0.099998951,88.000000000,18.000000000,19.000000000,73.000000000
0.099998951,88.000000000,18.000000000,19.000000000,74.000000000
0.099998951,86.000000000,18.000000000,19.000000000,74.000000000
0.099998951,86.000000000,18.000000000,19.000000000,74.000000000
0.099998951,86.000000000,18.000000000,19.000000000,73.000000000
0.099998951,85.000000000,18.000000000,19.000000000,73.000000000
0.099998951,85.000000000,18.000000000,19.000000000,73.000000000
0.099998951,85.000000000,18.000000000,19.000000000,73.000000000
0.125004530,86.000000000,18.000000000,19.000000000,73.000000000
0.150003195,86.000000000,18.000000000,19.000000000,69.000000000
0.150003195,86.000000000,18.000000000,19.000000000,69.000000000
0.150003195,85.000000000,18.000000000,19.000000000,69.000000000
0.150003195,85.000000000,18.000000000,19.000000000,69.000000000
0.150003195,85.000000000,18.000000000,19.000000000,66.000000000
0.150003195,84.000000000,18.000000000,19.000000000,66.000000000
0.150003195,84.000000000,18.000000000,19.000000000,66.000000000
0.150003195,84.000000000,18.000000000,19.000000000,66.000000000
0.150003195,82.000000000,18.000000000,19.000000000,66.000000000
0.150003195,82.000000000,18.000000000,19.000000000,66.000000000
