time,FL,FR,RL,RR
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,49.000000000
0.000000000,42.000000000,41.000000000,54.000000000,49.000000000
0.000000000,42.000000000,41.000000000,54.000000000,49.000000000
0.000000000,42.000000000,41.000000000,54.000000000,49.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,49.000000000
0.000000000,42.000000000,41.000000000,54.000000000,49.000000000
0.000000000,42.000000000,41.000000000,54.000000000,49.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.000000000,42.000000000,41.000000000,54.000000000,48.000000000
0.024997473,42.000000000,41.000000000,54.000000000,48.000000000
0.024997473,42.000000000,41.000000000,54.000000000,48.000000000
0.024997473,42.000000000,41.000000000,54.000000000,48.000000000
0.024997473,42.000000000,41.000000000,54.000000000,48.000000000
0.024997473,42.000000000,41.000000000,54.000000000,48.000000000
0.024997473,42.000000000,41.000000000,54.000000000,48.000000000
0.024997473,42.000000000,41.000000000,54.000000000,49.000000000
0.024997473,42.000000000,41.000000000,54.000000000,49.000000000
0.024997473,42.000000000,41.000000000,54.000000000,49.000000000
0.024997473,42.000000000,41.000000000,54.000000000,49.000000000
0.024997473,42.000000000,41.000000000,54.000000000,49.000000000
0.024997473,42.000000000,41.000000000,54.000000000,49.000000000
0.049998283,42.000000000,41.000000000,54.000000000,48.000000000
0.049998283,42.000000000,41.000000000,54.000000000,48.000000000
0.049998283,42.000000000,41.000000000,54.000000000,48.000000000
0.049998283,42.000000000,41.000000000,54.000000000,49.000000000
0.049998283,42.000000000,41.000000000,54.000000000,49.000000000
0.049998283,42.000000000,41.000000000,54.000000000,49.000000000
0.049998283,42.000000000,41.000000000,54.000000000,49.000000000
0.049998283,42.000000000,41.000000000,54.000000000,49.000000000
0.049998283,42.000000000,41.000000000,54.000000000,49.000000000
0.049998283,42.000000000,41.000000000,54.000000000,48.000000000
0.049998283,42.000000000,41.000000000,54.000000000,48.000000000
0.049998283,42.000000000,41.000000000,54.000000000,48.000000000
0.049998283,42.000000000,41.000000000,54.000000000,48.000000000
0.075004339,42.000000000,41.000000000,54.000000000,48.000000000
0.075004339,42.000000000,41.000000000,54.000000000,48.000000000
0.075004339,42.000000000,41.000000000,54.000000000,49.000000000
0.075004339,42.000000000,41.000000000,54.000000000,49.000000000
0.075004339,42.000000000,41.000000000,54.000000000,49.000000000
0.075004339,42.000000000,41.000000000,54.000000000,48.000000000
0.075004339,42.000000000,41.000000000,54.000000000,48.000000000
0.075004339,42.000000000,41.000000000,54.000000000,48.000000000
0.075004339,42.000000000,41.000000000,54.000000000,48.000000000
0.075004339,42.000000000,41.000000000,54.000000000,48.000000000
0.075004339,42.000000000,41.000000000,54.000000000,48.000000000
0.075004339,42.000000000,41.000000000,54.000000000,48.000000000
0.099998474,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,48.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.125004053,42.000000000,41.000000000,54.000000000,49.000000000
0.149999142,42.000000000,41.000000000,54.000000000,49.000000000
0.149999142,42.000000000,41.000000000,54.000000000,48.000000000
0.149999142,42.000000000,41.000000000,54.000000000,48.000000000
0.149999142,42.000000000,41.000000000,54.000000000,48.000000000
0.149999142,42.000000000,41.000000000,54.000000000,48.000000000
0.149999142,42.000000000,41.000000000,54.000000000,48.000000000
0.149999142,42.000000000,41.000000000,54.000000000,48.000000000
0.149999142,42.000000000,41.000000000,54.000000000,48.000000000
0.149999142,42.000000000,41.000000000,54.000000000,48.000000000
0.149999142,42.000000000,41.000000000,54.000000000,48.000000000
0.149999142,42.000000000,41.000000000,54.000000000,49.000000000
0.149999142,42.000000000,41.000000000,54.000000000,49.000000000
0.149999142,42.000000000,41.000000000,54.000000000,49.000000000
0.174995899,42.000000000,41.000000000,54.000000000,49.000000000
0.174995899,42.000000000,41.000000000,54.000000000,49.000000000
0.174995899,42.000000000,41.000000000,54.000000000,49.000000000
0.174995899,42.000000000,41.000000000,54.000000000,48.000000000
0.174995899,42.000000000,41.000000000,54.000000000,48.000000000
0.174995899,42.000000000,41.000000000,54.000000000,48.000000000
0.174995899,42.000000000,41.000000000,54.000000000,49.000000000
0.174995899,42.000000000,41.000000000,54.000000000,49.000000000
0.174995899,42.000000000,41.000000000,54.000000000,49.000000000
0.174995899,42.000000000,41.000000000,54.000000000,49.000000000
0.174995899,42.000000000,41.000000000,54.000000000,49.000000000
0.174995899,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.199997425,42.000000000,41.000000000,54.000000000,49.000000000
0.224975348,42.000000000,41.000000000,54.000000000,49.000000000
0.224975348,42.000000000,41.000000000,54.000000000,49.000000000
0.224975348,42.000000000,41.000000000,54.000000000,49.000000000
0.224975348,42.000000000,41.000000000,54.000000000,49.000000000
0.224975348,42.000000000,41.000000000,54.000000000,49.000000000
0.224975348,42.000000000,41.000000000,54.000000000,48.000000000
